unix_time,moisture,temp_c
1788656374,661,30.72
1788656674,687,30.51
1788656974,682,30.61
1788657274,679,30.51
1788657574,666,30.40
1788657875,681,29.89
1788658175,700,30.20
1788658475,664,30.51
1788658776,660,30.40
1788659076,677,30.30
1788659377,683,30.10
1788659677,677,29.89
1788659978,686,30.10
1788660279,661,30.20
1788660579,668,29.89
1788660880,680,29.79
1788661181,671,30.10
1788661482,664,29.79
1788661784,678,29.79
1788662085,697,29.58
1788662386,685,29.89
1788662688,668,29.79
1788662990,662,29.48
1788663291,672,29.48
1788663593,703,29.48
1788663895,687,29.37
1788664197,666,29.37
1788664500,684,29.27
1788664802,697,29.37
1788665104,670,29.27
1788665406,694,29.37
1788665709,676,29.27
1788666011,665,29.17
1788666314,662,28.97
1788666616,678,29.17
1788666919,673,28.65
1788667221,671,29.07
1788667524,694,29.07
1788667827,666,29.17
1788668130,675,29.07
1788668433,665,29.07
1788668736,700,28.86
1788669039,700,28.65
1788669342,704,28.86
1788669645,666,28.97
1788669949,665,28.76
1788670252,666,28.55
1788670556,687,28.65
1788670859,667,28.97
1788671163,700,28.97
1788671466,664,28.76
1788671770,671,28.76
1788672074,681,28.55
1788672377,665,28.45
1788672681,680,28.65
1788672985,662,28.65
1788673289,694,28.04
1788673593,671,28.24
1788673897,696,28.45
1788674201,664,28.24
1788674505,699,28.76
1788674810,662,28.35
1788675114,671,28.24
1788675418,692,28.45
1788675723,698,28.55
1788676027,670,28.24
1788676332,661,28.35
1788676636,666,27.94
1788676941,664,28.24
1788677246,665,28.24
1788677550,679,28.24
1788677855,665,28.14
1788678160,666,27.73
1788678465,680,27.83
1788678770,671,27.83
1788679075,663,27.83
1788679379,680,27.94
1788679684,671,27.73
1788679989,702,28.04
1788680294,661,27.62
1788680599,701,27.83
1788680905,664,27.83
1788681210,669,27.83
1788681515,670,27.62
1788681821,665,27.52
1788682126,669,28.04
1788682431,669,27.62
1788682737,681,27.62
1788683042,681,27.62
1788683348,666,27.83
1788683653,662,27.52
1788683959,700,27.41
1788684264,677,27.83
1788684570,671,27.21
1788684876,671,27.31
1788685181,666,27.62
1788685487,668,27.52
1788685793,682,27.31
1788686099,664,27.41
1788686404,674,27.52
1788686710,700,27.94
1788687016,666,27.62
1788687322,665,27.11
1788687629,687,27.31
1788687935,668,27.31
1788688241,667,27.52
1788688547,677,27.41
1788688853,690,27.41
1788689160,673,27.52
1788689466,675,27.31
1788689773,667,27.41
1788690079,706,27.31
1788690386,677,27.31
1788690692,662,27.11
1788690999,663,27.21
1788691306,677,27.11
1788691612,691,27.21
1788691919,660,27.21
1788692226,661,27.00
1788692533,696,26.80
1788692840,667,26.59
1788693147,698,26.90
1788693454,660,26.90
1788693762,660,26.90
1788694069,687,27.00
1788694376,662,26.90
1788694683,664,26.70
1788694990,658,26.80
1788695297,664,27.00
1788695604,667,27.11
1788695910,677,27.11
1788695517,677,26.38
1788695911,694,26.49
1788696210,672,26.80
1788696509,681,27.00
1788696809,839,27.31
1788697108,887,27.21
1788697407,903,27.00
1788697707,899,26.80
1788698006,928,26.59
1788698306,877,26.17
1788698606,885,26.08
1788698906,940,26.28
1788699207,881,26.08
1788699507,911,25.77
1788699808,913,25.56
1788700108,941,25.25
1788700409,881,25.25
1788700710,890,24.94
1788701011,891,24.74
1788701312,916,24.84
1788701613,897,24.84
1788701914,888,24.74
1788702216,890,24.74
1788702517,897,24.42
1788702818,885,24.74
1788703120,890,24.74
1788703421,921,24.74
1788703723,893,24.84
1788704024,902,24.53
1788704326,903,24.42
1788704627,970,24.63
1788704929,938,24.84
1788705230,905,24.53
1788705532,954,24.22
1788705833,896,24.74
1788706135,922,24.74
1788706436,941,24.74
1788706738,915,24.63
1788707039,976,24.32
1788707341,931,24.42
1788707642,977,24.53
1788707944,928,25.04
1788708245,936,25.04
1788708547,935,24.74
1788708848,961,24.63
1788709150,910,24.53
1788709451,939,25.15
1788709752,926,24.42
1788710053,917,24.84
1788710354,908,24.32
1788710656,923,24.84
1788710957,925,24.53
1788711258,969,24.74
1788711559,961,24.74
1788711860,952,24.94
1788712161,925,24.63
1788712462,939,24.84
1788712762,915,24.94
1788713063,981,25.15
1788713364,971,24.63
1788713664,927,24.74
1788713965,936,24.94
1788714265,926,25.15
1788714566,930,24.84
1788714866,909,25.04
1788715166,918,24.94
1788715467,948,25.35
1788715767,924,25.15
1788716067,932,25.25
1788716366,987,25.66
1788716666,919,25.56
1788716965,953,26.38
1788717264,934,25.25
1788717563,928,25.35
1788717862,929,25.25
1788718161,944,25.98
1788718460,912,25.56
1788718758,919,26.08
1788719057,936,25.56
1788719355,950,25.77
1788719653,965,26.28
1788719951,962,26.08
1788720249,895,25.87
1788720547,891,26.17
1788720845,917,26.38
1788721143,892,26.49
1788721440,945,26.38
1788721738,905,26.38
1788722035,917,26.38
1788722332,964,26.28
1788722629,945,26.49
1788722926,943,26.49
1788723223,914,26.70
1788723520,956,26.70
1788723816,955,26.70
1788724113,923,26.49
1788724409,921,26.70
1788724706,924,26.59
1788725002,905,27.11
1788725298,955,27.11
1788725594,905,26.80
1788725891,911,27.11
1788726187,932,27.11
1788726482,925,26.70
1788726778,955,27.11
1788727074,892,26.80
1788727370,946,27.21
1788727665,905,27.21
1788727961,890,27.21
1788728256,941,27.41
1788728552,920,26.70
1788728847,915,27.52
1788729142,962,27.21
1788729437,950,27.31
1788729732,893,27.11
1788730028,907,27.62
